1,_,是正品,真伪,正面
1,_,白嫩,使用体验,正面
1,_,不错的,整体,正面
2,_,不是喜欢,整体,负面
2,颜色,明显,其他,负面
2,包装,太差了,包装,负面
2,遮瑕效果,没有一点,功效,负面
2,_,不建议购买,整体,负面
2,_,不喜欢,整体,负面
3,_,_,_,_
4,_,还行吧,整体,正面
4,_,没有出现任何问题,整体,正面
4,_,还行,整体,正面
4,_,好,整体,正面
4,_,不错,整体,正面
4,_,很好,整体,正面
5,_,不错,整体,正面
5,遮瑕效果,很好,功效,正面
6,_,很细腻,使用体验,正面
6,_,贴合肤色,使用体验,正面
6,_,提亮了肌肤,功效,正面
6,_,很好用,整体,正面
7,_,特别好用,整体,正面
7,_,很喜欢,整体,正面
8,_,好评,整体,正面
9,_,还可以,整体,正面
9,_,好东西,整体,正面
9,_,愉快,整体,正面
9,_,_,整体,正面
10,_,_,_,_
11,_,不错,整体,正面
11,_,没有油腻,使用体验,正面
11,_,很清爽,使用体验,正面
11,_,水润,使用体验,正面
12,包装,一般,包装,中性
12,_,还行,整体,正面
12,_,不错,整体,正面
13,质量,一般般,其他,中性
13,包装,有点差,包装,负面
13,味道,有点刺鼻,气味,负面
14,_,不错,整体,正面
15,物流速度,快,物流,正面
15,包装质量,_,包装,负面
15,_,很不爽,整体,负面
16,包装,差了,包装,负面
16,_,没以前的好用,整体,负面
17,_,_,_,_
18,_,很喜欢,整体,正面
18,_,很好用,整体,正面
18,包装,很好,包装,正面
18,快递员服务,很好,物流,正面
19,_,_,_,_
20,_,自然,功效,正面
20,_,不油腻,使用体验,正面
20,_,好用,整体,正面
21,_,挺好用的,整体,正面
21,_,好评,整体,正面
22,_,很适合,整体,正面
22,_,比较干净,功效,正面
22,_,最合适,整体,正面
23,_,很不错,整体,正面
23,_,很贴肤,使用体验,正面
23,_,细腻,使用体验,正面
23,_,不油腻,使用体验,正面
24,_,不错,整体,正面
24,_,有点贵,价格,负面
24,包装,不错,包装,正面
24,味道,好闻,气味,正面
24,使用体验,不错,使用体验,正面
25,_,_,_,_
26,_,很好用,整体,正面
26,_,太贵了,价格,负面
26,_,有点干,使用体验,负面
27,_,真心不错,整体,正面
28,成膜,较慢,功效,负面
28,_,油腻,使用体验,负面
28,_,一般,整体,中性
28,包装,精美,包装,正面
28,气味,清新,气味,正面
28,_,不错,整体,正面
28,价格,便宜,价格,正面
28,物流,快,物流,正面
29,_,很好用,整体,正面
29,_,很温和,使用体验,正面
29,_,值得入手,整体,正面
29,_,小仙女,整体,正面
30,_,还可以,整体,正面
30,_,发白,使用体验,中性
30,包装设计,很独特,包装,正面
30,气味,很好闻,气味,正面
30,_,还不错,整体,正面
30,价格,便宜,价格,正面
30,物流,快,物流,正面
30,气味,好闻,气味,正面
30,包装,精美,包装,正面
30,_,不错,整体,正面
31,_,不错,整体,正面
31,_,非常好,整体,正面
32,_,好评,整体,正面
32,_,干净,功效,正面
32,_,好,整体,正面
32,_,升级,其他,正面
32,卸妆,干净,功效,正面
